,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time
AU_14909,Australia,14909,CENTRAL ARNHEM PLATEAU,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor14909_999999998752779.txt,-13.3275,133.0861,416m,39106,20.64,5min,mm,NA,-999.0,0.2, Changed LST,416.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_14909.txt,21,mm,AU_14909,2009071615,2014010100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2013-12-31 14:30:00+00:00,2009-07-16 05:30:00+00:00
AU_16102,Australia,16102,GREAT VICTORIA DESERT (SHOTLINE),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor16102_999999998752775.txt,-28.5253,131.5729,295m,69135,21.48,5min,mm,NA,-999.0,0.2, Changed LST,295.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_16102.txt,21,mm,AU_16102,2006071210,2014060100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2014-05-31 14:30:00+00:00,2006-07-12 00:30:00+00:00
AU_36030,Australia,36030,LONGREACH POST OFFICE,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor36030_999999998752738.txt,-23.45,144.25,191m,72125,19.57,5min,mm,NA,-999.0,0.0, Changed LST,191.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_36030.txt,21,mm,AU_36030,1963080920,1971110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,1971-10-31 14:00:00+00:00,1963-08-09 10:00:00+00:00
AU_35147,Australia,35147,EMERALD DPI FIELD STATION,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor35147_999999998752738.txt,-23.4669,148.1519,188m,232261,7.88,5min,mm,NA,-999.0,0.0, Changed LST,188.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_35147.txt,21,mm,AU_35147,1983030412,2009090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2009-08-31 14:00:00+00:00,1983-03-04 02:00:00+00:00
AU_9991,Australia,9991,DONNYBROOK EAST,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor9991_999999998752773.txt,-33.5711,115.8383,120m,43128,73.47,5min,mm,NA,-999.0,0.02, Changed LST,120.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_9991.txt,21,mm,AU_9991,2003070101,2008060100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2008-05-31 16:00:00+00:00,2003-06-30 17:00:00+00:00
AU_59000,Australia,59000,BELLBROOK (EAST STREET),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor59000_999999998752763.txt,-30.8141,152.5129,95m,521289,14.6,5min,mm,NA,-999.0,0.0, Changed LST,95.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_59000.txt,21,mm,AU_59000,1956011116,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1956-01-11 06:00:00+00:00
AU_72150,Australia,72150,WAGGA WAGGA AMO,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor72150_999999998752763.txt,-35.1583,147.4575,212m,611904,23.72,5min,mm,NA,-999.0,0.0, Changed LST,212.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_72150.txt,21,mm,AU_72150,1945011101,2014110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2014-10-31 14:00:00+00:00,1945-01-10 15:00:00+00:00
AU_10626,Australia,10626,PINGELLY,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor10626_999999998752773.txt,-32.5336,117.0831,297m,86184,0.42,5min,mm,NA,-999.0,0.0, Changed LST,297.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_10626.txt,21,mm,AU_10626,2001060101,2011040100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2011-03-31 16:00:00+00:00,2001-05-31 17:00:00+00:00
AU_7205,Australia,7205,MOUNT AUGUSTUS RESORT,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor7205_999999998752773.txt,-24.3075,116.9094,337m,21888,1.84,5min,mm,NA,-999.0,0.0, Changed LST,337.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_7205.txt,21,mm,AU_7205,2000120101,2003060100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2003-05-31 16:00:00+00:00,2000-11-30 17:00:00+00:00
AU_18217,Australia,18217,CUMMINS AERO,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor18217_999999998752775.txt,-34.2524,135.7135,60.1m,69973,10.57,5min,mm,NA,-999.0,0.2, Changed LST,60.1,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_18217.txt,21,mm,AU_18217,2007060712,2015060100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-05-31 14:30:00+00:00,2007-06-07 02:30:00+00:00
