,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time
AU_82039,Australia,82039,RUTHERGLEN RESEARCH,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor82039_999999998752770.txt,-36.1047,146.5094,175m,342812,17.73,5min,mm,NA,-999.0,0.0, Changed LST,175.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_82039.txt,21,mm,AU_82039,1975022105,2014040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2014-03-31 14:00:00+00:00,1975-02-20 19:00:00+00:00
AU_80126,Australia,80126,KERANG MODEL FARM,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor80126_999999998752770.txt,-35.7175,143.9111,77.2m,97106,8.3,5min,mm,NA,-999.0,0.03, Changed LST,77.2,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_80126.txt,21,mm,AU_80126,2004060123,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-06-30 14:00:00+00:00,2004-06-01 13:00:00+00:00
AU_39034,Australia,39034,DELUBRA,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor39034_999999998752738.txt,-25.7336,150.9231,200m,51698,13.31,5min,mm,NA,-999.0,0.0, Changed LST,200.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_39034.txt,21,mm,AU_39034,1963080723,1969070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,1969-06-30 14:00:00+00:00,1963-08-07 13:00:00+00:00
AU_40458,Australia,40458,CAPALABA WATER TREAT,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40458_999999998752738.txt,-27.5314,153.1825,28m,380146,10.92,5min,mm,NA,-999.0,0.0, Changed LST,28.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40458.txt,21,mm,AU_40458,1971111815,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-03-31 14:00:00+00:00,1971-11-18 05:00:00+00:00
AU_5007,Australia,5007,LEARMONTH AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor5007_999999998752773.txt,-22.2406,114.0967,5m,354169,7.63,5min,mm,NA,-999.0,0.0, Changed LST,5.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_5007.txt,21,mm,AU_5007,1975030700,2015080100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2015-07-31 16:00:00+00:00,1975-03-06 16:00:00+00:00
AU_69055,Australia,69055,GREEN CAPE LIGHTHOUSE,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor69055_999999998752763.txt,-37.2614,150.0497,20m,308579,20.51,5min,mm,NA,-999.0,0.0, Changed LST,20.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_69055.txt,21,mm,AU_69055,1967031914,2002060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2002-05-31 14:00:00+00:00,1967-03-19 04:00:00+00:00
AU_56218,Australia,56218,BLACK MOUNTAIN (ST.ELMO),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor56218_999999998752763.txt,-30.35,151.3833,1025m,20304,51.74,5min,mm,NA,-999.0,0.01, Changed LST,1025.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_56218.txt,21,mm,AU_56218,1974060801,1976100100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1976-09-30 14:00:00+00:00,1974-06-07 15:00:00+00:00
AU_85034,Australia,85034,GLENMAGGIE WEIR,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor85034_999999998752770.txt,-37.9085,146.8046,95m,506197,11.45,5min,mm,NA,-999.0,0.0, Changed LST,95.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_85034.txt,21,mm,AU_85034,1957120212,2015090100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-08-31 14:00:00+00:00,1957-12-02 02:00:00+00:00
AU_52060,Australia,52060,BURREN JUNCTION (PLAIN VIEW),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor52060_999999998752763.txt,-30.1667,148.95,168m,37677,24.5,5min,mm,NA,-999.0,0.01, Changed LST,168.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_52060.txt,21,mm,AU_52060,1966091404,1971010100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1970-12-31 14:00:00+00:00,1966-09-13 18:00:00+00:00
AU_33068,Australia,33068,MIRANI MARY STREET,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor33068_999999998752738.txt,-21.1631,148.87,43m,129264,19.99,5min,mm,NA,-999.0,0.01, Changed LST,43.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_33068.txt,21,mm,AU_33068,2000060101,2015030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-02-28 14:00:00+00:00,2000-05-31 15:00:00+00:00
AU_5067,Australia,5067,CANE RIVER,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor5067_999999998752773.txt,-22.0894,115.6239,80m,87375,11.5,5min,mm,NA,-999.0,0.0, Changed LST,80.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_5067.txt,21,mm,AU_5067,1973021210,1983020100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,1983-01-31 16:00:00+00:00,1973-02-12 02:00:00+00:00
AU_3063,Australia,3063,CHARNLEY RIVER,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor3063_999999998752773.txt,-16.7161,125.4603,400m,16636,3.24,5min,mm,NA,-999.0,0.01, Changed LST,400.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_3063.txt,21,mm,AU_3063,1997090621,1999080100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,1999-07-31 16:00:00+00:00,1997-09-06 13:00:00+00:00
AU_58044,Australia,58044,NIMBIN POST OFFICE,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor58044_999999998752763.txt,-28.5966,153.2233,70m,457978,23.45,5min,mm,NA,-999.0,0.0, Changed LST,70.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_58044.txt,21,mm,AU_58044,1963040215,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-06-30 14:00:00+00:00,1963-04-02 05:00:00+00:00
AU_15131,Australia,15131,ELLIOTT,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor15131_999999998752779.txt,-17.5551,133.5439,220m,241689,20.93,5min,mm,NA,-999.0,0.0, Changed LST,220.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_15131.txt,21,mm,AU_15131,1988010416,2015080100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2015-07-31 14:30:00+00:00,1988-01-04 06:30:00+00:00
AU_33210,Australia,33210,ST LAWRENCE,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor33210_999999998752738.txt,-22.3472,149.5242,9.2m,2970,21.08,5min,mm,NA,-999.0,0.06, Changed LST,9.2,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_33210.txt,21,mm,AU_33210,2004083007,2005010100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2004-12-31 14:00:00+00:00,2004-08-29 21:00:00+00:00
AU_1018,Australia,1018,MOUNT ELIZABETH,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor1018_999999998752773.txt,-16.4181,126.1025,546m,190926,19.16,5min,mm,NA,-999.0,0.0, Changed LST,546.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_1018.txt,21,mm,AU_1018,1993111919,2015090100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2015-08-31 16:00:00+00:00,1993-11-19 11:00:00+00:00
AU_200847,Australia,200847,GRANTS WELL,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor200847_999999998752773.txt,-10.4808,105.6519,230m,82486,24.7,5min,mm,NA,-999.0,0.0, Changed LST,230.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_200847.txt,21,mm,AU_200847,1997020103,2006070100,Local Standard Time,1hr,0 days 07:00:00,Indian/Christmas,2006-06-30 17:00:00+00:00,1997-01-31 20:00:00+00:00
AU_91033,Australia,91033,FRANKFORD (ROSSVILLE),B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor91033_999999998752777.txt,-41.3203,146.7378,240m,161000,39.04,5min,mm,NA,-999.0,0.0, Changed LST,240.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_91033.txt,21,mm,AU_91033,1957081917,1976010100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,1975-12-31 14:00:00+00:00,1957-08-19 07:00:00+00:00
AU_200731,Australia,200731,POINT FAWCETT,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor200731_999999998752779.txt,-11.7628,130.03,6.5m,120058,29.72,5min,mm,NA,-999.0,0.02, Changed LST,6.5,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_200731.txt,21,mm,AU_200731,2001101915,2015070100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2015-06-30 14:30:00+00:00,2001-10-19 05:30:00+00:00
AU_85227,Australia,85227,EAST TARWIN (MIRBOO PASTORAL COMPANY),B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor85227_999999998752770.txt,-38.5215,146.2041,263m,382216,24.06,5min,mm,NA,-999.0,0.0, Changed LST,263.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_85227.txt,21,mm,AU_85227,1971112309,2015070100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,2015-06-30 14:00:00+00:00,1971-11-22 23:00:00+00:00
AU_89002,Australia,89002,BALLARAT AERODROME,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor89002_999999998752770.txt,-37.5127,143.7911,435.2m,393998,9.6,5min,mm,NA,-999.0,0.0, Changed LST,435.2,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_89002.txt,21,mm,AU_89002,1954082011,1999080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1999-07-31 14:00:00+00:00,1954-08-20 01:00:00+00:00
AU_14404,Australia,14404,MILINGIMBI AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor14404_999999998752779.txt,-12.0932,134.8919,15m,61642,26.01,5min,mm,NA,-999.0,0.2, Changed LST,15.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_14404.txt,21,mm,AU_14404,2008031915,2015040100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2015-03-31 14:30:00+00:00,2008-03-19 05:30:00+00:00
AU_92011,Australia,92011,GLADSTONE (OLD POST OFFICE),B:/INTENSE data/Original data/Australia/RI_5min_TAS-ANT.zip/outputFor92011_999999998752777.txt,-40.9589,148.0086,61m,18283,35.8,5min,mm,NA,-999.0,0.0, Changed LST,61.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_92011.txt,21,mm,AU_92011,1968010106,1970020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Hobart,1970-01-31 14:00:00+00:00,1967-12-31 20:00:00+00:00
AU_87153,Australia,87153,LERDERDERG NO3 RECORDER,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor87153_999999998752770.txt,-37.4667,144.4,640m,68653,37.17,5min,mm,NA,-999.0,0.0, Changed LST,640.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_87153.txt,21,mm,AU_87153,1973050112,1981030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1981-02-28 14:00:00+00:00,1973-05-01 02:00:00+00:00
AU_27022,Australia,27022,THURSDAY ISLAND MO,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor27022_999999998752738.txt,-10.5853,142.21,57.6m,275376,7.02,5min,mm,NA,-999.0,0.0, Changed LST,57.6,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_27022.txt,21,mm,AU_27022,1961110101,1993040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,1993-03-31 14:00:00+00:00,1961-10-31 15:00:00+00:00
AU_15519,Australia,15519,PALMER VALLEY,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor15519_999999998752779.txt,-24.7495,133.2317,418m,164342,19.57,5min,mm,NA,-999.0,0.0, Changed LST,418.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_15519.txt,21,mm,AU_15519,1996103111,2015080100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2015-07-31 14:30:00+00:00,1996-10-31 01:30:00+00:00
AU_33099,Australia,33099,TEEMBURRA CREEK PLUVIO,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor33099_999999998752738.txt,-21.245,148.6717,220m,196910,15.26,5min,mm,NA,-999.0,0.0, Changed LST,220.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_33099.txt,21,mm,AU_33099,1962121411,1985060100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,1985-05-31 14:00:00+00:00,1962-12-14 01:00:00+00:00
AU_24023,Australia,24023,LOXTON RESEARCH CENTRE,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor24023_999999998752775.txt,-34.4333,140.6,66m,102210,6.68,5min,mm,NA,-999.0,0.0, Changed LST,66.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_24023.txt,21,mm,AU_24023,1972110207,1984070100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,1984-06-30 14:30:00+00:00,1972-11-01 21:30:00+00:00
AU_18083,Australia,18083,WUDINNA AERO,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor18083_999999998752775.txt,-33.043,135.4519,86.4m,119982,7.68,5min,mm,NA,-999.0,0.0, Changed LST,86.4,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_18083.txt,21,mm,AU_18083,2001112219,2015080100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-07-31 14:30:00+00:00,2001-11-22 09:30:00+00:00
AU_14651,Australia,14651,SNOWDROP CREEK,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor14651_999999998752779.txt,-13.8269,133.3278,384m,44196,1.15,5min,mm,NA,-999.0,0.03, Changed LST,384.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_14651.txt,21,mm,AU_14651,2003091613,2008100100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2008-09-30 14:30:00+00:00,2003-09-16 03:30:00+00:00
AU_41348,Australia,41348,WYAGA TM,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor41348_999999998752738.txt,-28.1667,150.6444,267m,1750,8.97,5min,mm,NA,-999.0,0.08, Changed LST,267.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_41348.txt,21,mm,AU_41348,2000082003,2000110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2000-10-31 14:00:00+00:00,2000-08-19 17:00:00+00:00
AU_55235,Australia,55235,NUNDLE SHIRE COUNCIL,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor55235_999999998752763.txt,-31.4833,151.15,500m,166544,33.07,5min,mm,NA,-999.0,0.0, Changed LST,500.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_55235.txt,21,mm,AU_55235,1959010117,1978010100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1977-12-31 14:00:00+00:00,1959-01-01 07:00:00+00:00
AU_47007,Australia,47007,BROKEN HILL (PATTON STREET),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor47007_999999998752763.txt,-31.9759,141.4676,315m,75998,24.55,5min,mm,NA,-999.0,0.0, Changed LST,315.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_47007.txt,21,mm,AU_47007,1939060111,1948020100,Local Standard Time,1hr,0 days 10:00:00,Australia/NSW,1948-01-31 14:00:00+00:00,1939-06-01 01:00:00+00:00
AU_11003,Australia,11003,EUCLA,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor11003_999999998752773.txt,-31.6797,128.8958,93.1m,178311,8.37,5min,mm,NA,-999.0,0.0, Changed LST,93.1,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_11003.txt,21,mm,AU_11003,1995032910,2015080100,Local Standard Time,1hr,0 days 08:00:00,Australia/West,2015-07-31 16:00:00+00:00,1995-03-29 02:00:00+00:00
AU_36046,Australia,36046,TIREE,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor36046_999999998752738.txt,-21.6291,145.1166,282m,381701,22.93,5min,mm,NA,-999.0,0.0, Changed LST,282.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_36046.txt,21,mm,AU_36046,1971101420,2015050100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-04-30 14:00:00+00:00,1971-10-14 10:00:00+00:00
AU_14129,Australia,14129,BELYUEN,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor14129_999999998752779.txt,-12.538,130.6985,25m,30285,1.51,5min,mm,NA,-999.0,0.01, Changed LST,25.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_14129.txt,21,mm,AU_14129,2005031904,2008090100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2008-08-31 14:30:00+00:00,2005-03-18 18:30:00+00:00
AU_87155,Australia,87155,LERDERDERG NO 1 RECORDER,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor87155_999999998752770.txt,-37.4667,144.2167,868.7m,61777,30.5,5min,mm,NA,-999.0,0.0, Changed LST,868.7,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_87155.txt,21,mm,AU_87155,1974021200,1981030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1981-02-28 14:00:00+00:00,1974-02-11 14:00:00+00:00
AU_41100,Australia,41100,TEXAS POST OFFICE,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor41100_999999998752738.txt,-28.8544,151.1681,295m,372557,9.57,5min,mm,NA,-999.0,0.0, Changed LST,295.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_41100.txt,21,mm,AU_41100,1972092920,2015040100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2015-03-31 14:00:00+00:00,1972-09-29 10:00:00+00:00
AU_23073,Australia,23073,MALLALA AERO,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23073_999999998752775.txt,-34.4167,138.5,44m,4183,10.69,5min,mm,NA,-999.0,0.04, Changed LST,44.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23073.txt,21,mm,AU_23073,1976010818,1976070100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,1976-06-30 14:30:00+00:00,1976-01-08 08:30:00+00:00
AU_40160,Australia,40160,NERANG GILSTON RD,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40160_999999998752738.txt,-28.0092,153.3175,25m,265403,43.32,5min,mm,NA,-999.0,0.0, Changed LST,25.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40160.txt,21,mm,AU_40160,1970112014,2001030100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2001-02-28 14:00:00+00:00,1970-11-20 04:00:00+00:00
AU_40651,Australia,40651,JIMNA FORESTRY,B:/INTENSE data/Original data/Australia/RI_5min_QLD.zip/outputFor40651_999999998752738.txt,-26.6644,152.4606,523m,112293,21.73,5min,mm,NA,-999.0,0.0, Changed LST,523.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_40651.txt,21,mm,AU_40651,2001041104,2014020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Brisbane,2014-01-31 14:00:00+00:00,2001-04-10 18:00:00+00:00
AU_15085,Australia,15085,BRUNETTE DOWNS,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor15085_999999998752779.txt,-18.637,135.945,218m,398355,10.07,5min,mm,NA,-999.0,0.0, Changed LST,218.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_15085.txt,21,mm,AU_15085,1968122022,2014060100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2014-05-31 14:30:00+00:00,1968-12-20 12:30:00+00:00
AU_71029,Australia,71029,SPENCERS CREEK,B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor71029_999999998752763.txt,-36.4333,148.35,1767.8m,88359,29.29,5min,mm,NA,-999.0,0.0, Changed LST,1767.8,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_71029.txt,21,mm,AU_71029,1953010210,1963020100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1963-01-31 14:00:00+00:00,1953-01-02 00:00:00+00:00
AU_86323,Australia,86323,LATROBE RIVER NO.2,B:/INTENSE data/Original data/Australia/RI_5min_VIC.zip/outputFor86323_999999998752770.txt,-37.85,145.85,716m,68075,18.99,5min,mm,NA,-999.0,0.0, Changed LST,716.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_86323.txt,21,mm,AU_86323,1973032714,1981010100,Local Standard Time,1hr,0 days 10:00:00,Australia/Melbourne,1980-12-31 14:00:00+00:00,1973-03-27 04:00:00+00:00
AU_58189,Australia,58189,SOUTH GRAFTON (DIVINES STATE FOREST),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor58189_999999998752763.txt,-29.7833,152.9467,80m,13997,8.35,5min,mm,NA,-999.0,0.0, Changed LST,80.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_58189.txt,21,mm,AU_58189,1982032720,1983110100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1983-10-31 14:00:00+00:00,1982-03-27 10:00:00+00:00
AU_15002,Australia,15002,WISO BORE,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor15002_999999998752779.txt,-19.4157,133.5541,272m,67035,5.33,5min,mm,NA,-999.0,0.2, Changed LST,272.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_15002.txt,21,mm,AU_15002,2007120722,2015080100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2015-07-31 14:30:00+00:00,2007-12-07 12:30:00+00:00
AU_72163,Australia,72163,TOOMA (EUDLO),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor72163_999999998752763.txt,-35.899,148.182,585m,161425,5.55,5min,mm,NA,-999.0,0.0, Changed LST,585.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_72163.txt,21,mm,AU_72163,1997030200,2015080100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,2015-07-31 14:00:00+00:00,1997-03-01 14:00:00+00:00
AU_17010,Australia,17010,GAMMON RANGES (BALCANOONA),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor17010_999999998752775.txt,-30.5328,139.3029,180m,117880,17.64,5min,mm,NA,-999.0,0.01, Changed LST,180.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_17010.txt,21,mm,AU_17010,2001062009,2014120100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2014-11-30 14:30:00+00:00,2001-06-19 23:30:00+00:00
AU_10093,Australia,10093,MERREDIN RESEARCH STATION,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor10093_999999998752773.txt,-31.4994,118.2242,318m,193359,29.09,5min,mm,NA,-999.0,0.0, Changed LST,318.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_10093.txt,21,mm,AU_10093,1963031110,1985040100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,1985-03-31 16:00:00+00:00,1963-03-11 02:00:00+00:00
AU_14504,Australia,14504,GALIWINKU,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor14504_999999998752779.txt,-12.028,135.5648,18m,26304,0.18,5min,mm,NA,-999.0,0.01, Changed LST,18.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_14504.txt,21,mm,AU_14504,2002050101,2005050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2005-04-30 14:30:00+00:00,2002-04-30 15:30:00+00:00
AU_17043,Australia,17043,OODNADATTA AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor17043_999999998752775.txt,-27.5553,135.4456,116.5m,475479,31.51,5min,mm,NA,-999.0,0.0, Changed LST,116.5,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_17043.txt,21,mm,AU_17043,1961010210,2015040100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-03-31 14:30:00+00:00,1961-01-02 00:30:00+00:00
AU_14097,Australia,14097,DS23,B:/INTENSE data/Original data/Australia/RI_5min_NT.zip/outputFor14097_999999998752779.txt,-12.6231,131.3047,14m,6492,10.15,5min,mm,NA,-999.0,0.2, Changed LST,14.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_14097.txt,21,mm,AU_14097,2006110313,2007080100,Local Standard Time,1hr,0 days 09:30:00,Australia/Darwin,2007-07-31 14:30:00+00:00,2006-11-03 03:30:00+00:00
AU_61178,Australia,61178,WOLLOMBI (BIG YENGO LTP),B:/INTENSE data/Original data/Australia/RI_5min_NSW.zip/outputFor61178_999999998752763.txt,-32.9333,150.9167,366m,155616,17.19,5min,mm,NA,-999.0,0.0, Changed LST,366.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_61178.txt,21,mm,AU_61178,1958030101,1975120100,Local Standard Time,1hr,0 days 10:00:00,Australia/Sydney,1975-11-30 14:00:00+00:00,1958-02-28 15:00:00+00:00
AU_24580,Australia,24580,STRATHALBYN RACECOURSE,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor24580_999999998752775.txt,-35.2836,138.8934,58m,114631,9.03,5min,mm,NA,-999.0,0.01, Changed LST,58.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_24580.txt,21,mm,AU_24580,2002040218,2015050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-04-30 14:30:00+00:00,2002-04-02 08:30:00+00:00
AU_8160,Australia,8160,MERIDALE,B:/INTENSE data/Original data/Australia/RI_5min_WA.zip/outputFor8160_999999998752773.txt,-30.5097,116.3728,282m,110952,37.05,5min,mm,NA,-999.0,0.0, Changed LST,282.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_8160.txt,21,mm,AU_8160,1999070501,2012030100,Local Standard Time,1hr,0 days 08:00:00,Australia/Perth,2012-02-29 16:00:00+00:00,1999-07-04 17:00:00+00:00
