,Country,Original Station Number,Original Station Name,Path to original data,Latitude,Longitude,Elevation,Number of records,Percent missing data,Original Timestep,Original Units,Daylight Saving info,No data value,Resolution,Other,height,height units,file,header_lines,units,ID,Start,End,timezone,timestep,utc_offset,Inferred_timezone,End_time,Start_time,Distance
AU_23823,Australia,23823,HINDMARSH VALLEY (FERNBROOK),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23823_999999998752775.txt,-35.4123,138.5751,248m,368943,2.87,5min,mm,,-999.0,0.0, Changed LST,248.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23823.txt,21,mm,AU_23823,1973032910,2015050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-04-30 14:30:00+00:00,1973-03-29 00:30:00+00:00,11399.575398075813
AU_23842,Australia,23842,MOUNT LOFTY,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23842_999999998752775.txt,-34.9784,138.7088,685m,45155,44.79,5min,mm,,-999.0,0.2, Changed LST,685.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23842.txt,21,mm,AU_23842,2009050614,2014070100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2014-06-30 14:30:00+00:00,2009-05-06 04:30:00+00:00,43399.92815471316
AU_23373,Australia,23373,NURIOOTPA VITICULTURAL,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23373_999999998752775.txt,-34.4761,139.0056,275m,136296,5.5,5min,mm,,-999.0,0.01, Changed LST,275.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23373.txt,21,mm,AU_23373,1999101301,2015050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-04-30 14:30:00+00:00,1999-10-12 15:30:00+00:00,105399.84608882603
AU_23851,Australia,23851,MYPONGA (LOVELY VALLEY),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23851_999999998752775.txt,-35.4193,138.4944,424m,26605,0.96,5min,mm,,-999.0,0.2, Changed LST,424.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23851.txt,21,mm,AU_23851,2012011912,2015020100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-01-31 14:30:00+00:00,2012-01-19 02:30:00+00:00,9920.667100673378
AU_23863,Australia,23863,KANMANTOO (MILLBRAE),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23863_999999998752775.txt,-35.0238,139.0013,252m,20124,41.4,5min,mm,,-999.0,0.2, Changed LST,252.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23863.txt,21,mm,AU_23863,2012031413,2014070100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2014-06-30 14:30:00+00:00,2012-03-14 03:30:00+00:00,56914.12457234247
AU_23887,Australia,23887,KUITPO FOREST RESERVE,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23887_999999998752775.txt,-35.1712,138.6783,365m,118466,20.06,5min,mm,,-999.0,0.03, Changed LST,365.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23887.txt,21,mm,AU_23887,2001122423,2015070100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-06-30 14:30:00+00:00,2001-12-24 13:30:00+00:00,23952.223775520455
AU_22843,Australia,22843,PARNDANA CFS AWS,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor22843_999999998752775.txt,-35.7916,137.2496,165m,30489,56.49,5min,mm,,-999.0,0.2, Changed LST,165.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_22843.txt,21,mm,AU_22843,2011090716,2015030100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-02-28 14:30:00+00:00,2011-09-07 06:30:00+00:00,124393.2129367546
AU_23801,Australia,23801,LENSWOOD RESEARCH CENTRE,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23801_999999998752775.txt,-34.9482,138.8071,480m,373885,5.12,5min,mm,,-999.0,0.0, Changed LST,480.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23801.txt,21,mm,AU_23801,1972100512,2015060100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-05-31 14:30:00+00:00,1972-10-05 02:30:00+00:00,50768.846161220994
AU_23321,Australia,23321,NURIOOTPA COMPARISON,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23321_999999998752775.txt,-34.4767,139.0047,274m,244886,15.09,5min,mm,,-999.0,0.0, Changed LST,274.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23321.txt,21,mm,AU_23321,1970092411,1998090100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,1998-08-31 14:30:00+00:00,1970-09-24 01:30:00+00:00,105303.90045372337
AU_24584,Australia,24584,MURRAY BRIDGE (PALLAMANA AERODROME),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor24584_999999998752775.txt,-35.065,139.2273,45m,79261,13.5,5min,mm,,-999.0,0.2, Changed LST,45.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_24584.txt,21,mm,AU_24584,2006021312,2015030100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-02-28 14:30:00+00:00,2006-02-13 02:30:00+00:00,72465.65446650502
AU_23046,Australia,23046,ADELAIDE AIRPORT OLD SITE,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23046_999999998752775.txt,-34.9566,138.5356,6m,11701,1.85,5min,mm,,-999.0,0.02, Changed LST,6.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23046.txt,21,mm,AU_23046,2002123012,2004050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2004-04-30 14:30:00+00:00,2002-12-30 02:30:00+00:00,41553.026256770005
AU_23875,Australia,23875,PARAWA (SECOND VALLEY FOREST AWS),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23875_999999998752775.txt,-35.5695,138.2864,341m,133498,7.36,5min,mm,,-999.0,0.0, Changed LST,341.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23875.txt,21,mm,AU_23875,1999110915,2015020100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-01-31 14:30:00+00:00,1999-11-09 05:30:00+00:00,32895.69819055492
AU_23343,Australia,23343,ROSEDALE (TURRETFIELD RESEARCH CENTRE),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23343_999999998752775.txt,-34.5519,138.8342,116m,500213,28.33,5min,mm,,-999.0,0.0, Changed LST,116.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23343.txt,21,mm,AU_23343,1958040720,2015050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-04-30 14:30:00+00:00,1958-04-07 10:30:00+00:00,91561.79070220965
AU_23843,Australia,23843,HEATHFIELD WORKS DEPOT,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23843_999999998752775.txt,-35.0266,138.7133,470m,263485,20.59,5min,mm,,-999.0,0.0, Changed LST,470.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23843.txt,21,mm,AU_23843,1985051012,2015060100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-05-31 14:30:00+00:00,1985-05-10 02:30:00+00:00,38865.41605336323
AU_23034,Australia,23034,ADELAIDE AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23034_999999998752775.txt,-34.9524,138.5204,2m,426279,5.84,5min,mm,,-999.0,0.0, Changed LST,2.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23034.txt,21,mm,AU_23034,1967011410,2015090100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-31 14:30:00+00:00,1967-01-14 00:30:00+00:00,41933.36863021568
AU_23027,Australia,23027,ADELAIDE (THORNDON PARK),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23027_999999998752775.txt,-34.8744,138.6858,85m,130687,5.32,5min,mm,,-999.0,0.0, Changed LST,85.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23027.txt,21,mm,AU_23027,1988070318,2003060100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2003-05-31 14:30:00+00:00,1988-07-03 08:30:00+00:00,53308.56251530749
AU_23735,Australia,23735,MOUNT COMPASS,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23735_999999998752775.txt,-35.3497,138.6223,232m,151865,7.58,5min,mm,,-999.0,0.0, Changed LST,232.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23735.txt,21,mm,AU_23735,1998050508,2015090100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-31 14:30:00+00:00,1998-05-04 22:30:00+00:00,11330.980248188513
AU_23090,Australia,23090,ADELAIDE (KENT TOWN),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23090_999999998752775.txt,-34.9211,138.6216,48m,334954,4.29,5min,mm,,-999.0,0.0, Changed LST,48.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23090.txt,21,mm,AU_23090,1977021215,2015050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-04-30 14:30:00+00:00,1977-02-12 05:30:00+00:00,46698.906810673485
AU_22841,Australia,22841,KINGSCOTE AERO,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor22841_999999998752775.txt,-35.7114,137.5231,6.2m,118368,12.43,5min,mm,,-999.0,0.0, Changed LST,6.2,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_22841.txt,21,mm,AU_22841,2002030101,2015090100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-31 14:30:00+00:00,2002-02-28 15:30:00+00:00,98195.78493744657
AU_23885,Australia,23885,NOARLUNGA,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23885_999999998752775.txt,-35.1586,138.5057,55m,115933,6.8,5min,mm,,-999.0,0.01, Changed LST,55.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23885.txt,21,mm,AU_23885,2001101012,2015010100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2014-12-31 14:30:00+00:00,2001-10-10 02:30:00+00:00,19023.05792895669
AU_23013,Australia,23013,PARAFIELD AIRPORT,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23013_999999998752775.txt,-34.7977,138.6281,9.5m,375039,22.16,5min,mm,,-999.0,0.0, Changed LST,9.5,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23013.txt,21,mm,AU_23013,1972081810,2015060100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-05-31 14:30:00+00:00,1972-08-18 00:30:00+00:00,60199.20574555988
AU_23824,Australia,23824,HINDMARSH VALLEY (SPRINGMOUNT),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23824_999999998752775.txt,-35.4428,138.5444,410m,370227,6.84,5min,mm,,-999.0,0.0, Changed LST,410.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23824.txt,21,mm,AU_23824,1973030622,2015060100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-05-31 14:30:00+00:00,1973-03-06 12:30:00+00:00,13148.999228881908
AU_22046,Australia,22046,EDITHBURGH,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor22046_999999998752775.txt,-35.1121,137.7395,6m,137287,5.11,5min,mm,,-999.0,0.01, Changed LST,6.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_22046.txt,21,mm,AU_22046,1999120218,2015080100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-07-31 14:30:00+00:00,1999-12-02 08:30:00+00:00,73336.25992615147
AU_23864,Australia,23864,RED CREEK (BURWOOD),B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor23864_999999998752775.txt,-35.138,138.9714,191m,24420,16.33,5min,mm,,-999.0,0.2, Changed LST,191.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_23864.txt,21,mm,AU_23864,2011081813,2014060100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2014-05-31 14:30:00+00:00,2011-08-18 03:30:00+00:00,47906.605423310015
AU_24518,Australia,24518,MENINGIE,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor24518_999999998752775.txt,-35.6902,139.3375,3m,99827,10.24,5min,mm,,-999.0,0.01, Changed LST,3.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_24518.txt,21,mm,AU_24518,2003121014,2015050100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-04-30 14:30:00+00:00,2003-12-10 04:30:00+00:00,85845.5489972338
AU_22803,Australia,22803,CAPE WILLOUGHBY,B:/INTENSE data/Original data/Australia/RI_5min_SA.zip/outputFor22803_999999998752775.txt,-35.8426,138.1327,55m,114045,24.42,5min,mm,,-999.0,0.0, Changed LST,55.0,m,/g/data/ua8/Precipitation/GSDR/aus5min_postqc/AU_22803.txt,21,mm,AU_22803,2002082804,2015090100,Local Standard Time,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-31 14:30:00+00:00,2002-08-27 18:30:00+00:00,65899.66568553064
AU_023878,Australia,23878,MOUNT CRAWFORD (MT CRAWFORD AWS),B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_023878_999999998747816.txt,-34.7253,138.9278,525.0m,44348,7.53,1min,mm,,-999.0,0.2, Changed CET,525.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_023878.txt,21,mm,AU_023878,2010072915,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2010-07-29 05:30:00+00:00,77618.4298578338
AU_023875,Australia,23875,PARAWA (SECOND VALLEY FOREST AWS),B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_023875_999999998747816.txt,-35.5695,138.2864,341.0m,48524,1.22,1min,mm,,-999.0,0.2, Changed CET,341.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_023875.txt,21,mm,AU_023875,2010020515,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2010-02-05 05:30:00+00:00,32895.69819055492
AU_023842,Australia,23842,MOUNT LOFTY,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_023842_999999998747816.txt,-34.9784,138.7088,685.0m,120287,55.18,1min,mm,,-999.0,0.2, Changed CET,685.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_023842.txt,21,mm,AU_023842,2001112912,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2001-11-29 02:30:00+00:00,43399.92815471316
AU_022046,Australia,22046,EDITHBURGH,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_022046_999999998747816.txt,-35.1121,137.7395,6.0m,41732,2.87,1min,mm,,-999.0,0.2, Changed CET,6.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_022046.txt,21,mm,AU_022046,2010111515,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2010-11-15 05:30:00+00:00,73336.25992615147
AU_022841,Australia,22841,KINGSCOTE AERO,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_022841_999999998747816.txt,-35.7114,137.5231,6.2m,39136,2.06,1min,mm,,-999.0,0.2, Changed CET,6.2,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_022841.txt,21,mm,AU_022841,2011030319,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2011-03-03 09:30:00+00:00,98195.78493744657
AU_023894,Australia,23894,HINDMARSH ISLAND AWS,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_023894_999999998747816.txt,-35.5194,138.8177,11.0m,25699,2.53,1min,mm,,-999.0,0.2, Changed CET,11.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_023894.txt,21,mm,AU_023894,2012091316,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2012-09-13 06:30:00+00:00,35692.922477502165
AU_023083,Australia,23083,EDINBURGH RAAF,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_023083_999999998747816.txt,-34.7111,138.6222,16.5m,120287,8.62,1min,mm,,-999.0,0.2, Changed CET,16.5,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_023083.txt,21,mm,AU_023083,2001112912,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2001-11-29 02:30:00+00:00,69561.1957080163
AU_022803,Australia,22803,CAPE WILLOUGHBY,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_022803_999999998747816.txt,-35.8426,138.1327,55.0m,39186,3.81,1min,mm,,-999.0,0.2, Changed CET,55.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_022803.txt,21,mm,AU_022803,2011030117,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2011-03-01 07:30:00+00:00,65899.66568553064
AU_024580,Australia,24580,STRATHALBYN RACECOURSE,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_024580_999999998747816.txt,-35.2836,138.8934,58.0m,41494,5.48,1min,mm,,-999.0,0.2, Changed CET,58.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_024580.txt,21,mm,AU_024580,2010112513,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2010-11-25 03:30:00+00:00,36146.63327475592
AU_023122,Australia,23122,ROSEWORTHY AWS,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_023122_999999998747816.txt,-34.5106,138.6763,65.0m,41638,5.79,1min,mm,,-999.0,0.2, Changed CET,65.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_023122.txt,21,mm,AU_023122,2010111913,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2010-11-19 03:30:00+00:00,92319.88236756947
AU_022843,Australia,22843,PARNDANA CFS AWS,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_022843_999999998747816.txt,-35.7916,137.2496,165.0m,34583,0.44,1min,mm,,-999.0,0.2, Changed CET,165.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_022843.txt,21,mm,AU_022843,2011090912,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2011-09-09 02:30:00+00:00,124393.2129367546
AU_023013,Australia,23013,PARAFIELD AIRPORT,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_023013_999999998747816.txt,-34.7977,138.6281,9.5m,120287,11.91,1min,mm,,-999.0,0.2, Changed CET,9.5,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_023013.txt,21,mm,AU_023013,2001112912,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2001-11-29 02:30:00+00:00,60199.20574555988
AU_023887,Australia,23887,KUITPO FOREST RESERVE,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_023887_999999998747816.txt,-35.1712,138.6783,365.0m,35586,3.03,1min,mm,,-999.0,0.2, Changed CET,365.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_023887.txt,21,mm,AU_023887,2011072917,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2011-07-29 07:30:00+00:00,23952.223775520455
AU_023034,Australia,23034,ADELAIDE AIRPORT,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_023034_999999998747816.txt,-34.9524,138.5204,2.0m,120162,5.78,1min,mm,,-999.0,0.2, Changed CET,2.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_023034.txt,21,mm,AU_023034,2001120417,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2001-12-04 07:30:00+00:00,41933.36863021568
AU_023046,Australia,23046,ADELAIDE AIRPORT OLD SITE,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_023046_999999998747816.txt,-34.9566,138.5356,6.0m,11184,93.54,1min,mm,,-999.0,0.2, Changed CET,6.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_023046.txt,21,mm,AU_023046,2002110115,2004021014,CET,1hr,0 days 09:30:00,Australia/Adelaide,2004-02-10 04:30:00+00:00,2002-11-01 05:30:00+00:00,41553.026256770005
AU_022031,Australia,22031,MINLATON AERO,B:/INTENSE data/Original data/Australia/AWS 1min_TAS-ANT.zip/HD01D_Data_022031_999999998747816.txt,-34.748,137.5276,32.0m,41730,10.17,1min,mm,,-999.0,0.2, Changed CET,32.0,m,/g/data/ua8/Precipitation/GSDR/aus1min_postqc/AU_022031.txt,21,mm,AU_022031,2010111517,2015082010,CET,1hr,0 days 09:30:00,Australia/Adelaide,2015-08-20 00:30:00+00:00,2010-11-15 07:30:00+00:00,109732.23211971746
